Heading (H2),Subheading (P)
"पहाड र तराईका केही स्थानमा हुस्सु, बाँकी भागमा मौसम सफा",नतिजा हेर्नको लागि लगइन गर्नुहोस् ।
‘देवी’ ले लडेको न्यायिक लडाइँ,तपाईको प्रतिक्रिया समीक्षामा भएकोले प्रकाशित भएको छैन ।
दानमा जग्गा लिनु गलत भएको अभिव्यक्ति दिने सांसद एमालेबाट निलम्बित,तपाईको प्रतिक्रिया समीक्षामा भएकोले प्रकाशित भएको छैन ।
बीआरआई अघि बढाउन कांग्रेस–एमाले सहमति नजिक,देशमा पश्चिमी वायुको सामान्य प्रभाव रहेको  बताउँदै जल तथा मौसम विज्ञान विभागले हाल पहाडी भागमा भागमा आंशिक बदली रही बाँकी भागमा मौसम सफा रहेको छ । तराईका केही स्थानमा तथा पहाडी भेगका एक–दुई स्थानमा हुस्सु लागेको छ ।
पूर्वमन्त्री अधिकारीलाई मुद्दा नचलाएकामा माओवादीको आपत्ति,"‘आज त आउँछ होला यो विषय, कसैले त उठाउँछ होला भनेर मैले १५ वर्ष कुरेँ । म पनि त ट्रमामा नै थिए नि । ठ्याक्कै बोल्न सक्ने, आवाज उठाउन सक्ने भएको भए पहिल्यै उठाउँथे नि,’ आँसु चुहाउँदै देवी खड्का भन्छिन्, ‘पछि त्यो पीडामा भएकाहरू हेर्दै गएँ र एउटा निष्कर्षमा पुगेँ, मैले नबोले कसैले नबोल्ने रहेछ ।’"
‘कर्णालीकी डाइभर्नी दिदी’,भाटभटेनी सुपर मार्केटका सञ्चालक मीनबहादुर गुरुङबाट पार्टीले जग्गा दानमा लिनु गलत भएको अभिव्यक्ति दिने लुम्बिनीका प्रदेश सांसद तथा पूर्वमन्त्री दुर्गाप्रसाद चौधरीलाई एमालेले पार्टी सदस्यबाट निलम्बन गरेको छ । सामाजिक सञ्जाललगायतमा पार्टीविरोधी अभिव्यक्ति दिएको तथा अध्यक्ष केपी शर्मा ओली र महासचिव शंकर पोखरेलको मानहानि गरेको भन्दै चौधरीलाई एमाले बाँकेले मंगलबार निलम्बन गरेको हो ।
इजरायल र  हेजबुल्लाहबीच युद्धविराम,सत्तारूढ कांग्रेस र एमाले बेल्ट एन्ड रोड इनिसिएटिभ (बीआरआई) सम्बन्धी कार्यक्रम कार्यान्वयनमा साझा धारणा बनाउन सहमति निकट पुगेका छन् । प्रधानमन्त्री निवास बालुवाटारमा बुधबार भएको छलफलमा दुई दलबीच बीआरआईको ‘कार्यक्रम कार्यान्वयन योजना’को प्रस्तावित मस्यौदालाई संशोधन गरेर ‘बीआरआई कोअपरेसन फ्रेमवर्क’ प्रस्ताव गर्ने गृहकार्य भएको हो ।
तत्काललाई उद्योगका विद्युत् लाइन नकाटिने,मानव तस्करी आरोपमा पक्राउ परेका कोशी प्रदेशका पूर्वआन्तरिक मामिला तथा कानुनमन्त्री लीलाबल्लभ अधिकारीलाई काठमाडौं जिल्ला सरकारी वकिलको कार्यालयले मुद्दा नचलाएकामा माओवादीले आपत्ति जनाएको छ । माओवादी पदाधिकारीको बुधबार बसेको बैठकले सरकारले मानव तस्करीको गम्भीर आरोप लागेका पूर्वमन्त्री अधिकारीलाई एमाले भएकै कारण उन्मुक्ति दिएको निष्कर्ष निकालेको हो ।
युवालाई विदेशिनबाट रोक्न साझा व्यवस्थापनको खाँचो छ : देउवा,"कर्णाली राजमार्गको वीरेन्द्रनगर–रानीघाट रुटमा सधैं हुइँकिरहने भे१ज ६५१ नम्बरको जिप देखेपछि धेरैको नजर चालकतिर सोझिन्छ । यो जिपकी चालक हुन्– सुर्खेतको बराहाताल गाउँपालिका–२ की ३२ वर्षीया तुल्सीकुमारी वली । ‘कर्णालीमा सार्वजनिक ठूला सवारीसाधन चलाउने महिला छैनन्,’ नेपाल प्रहरीको राजमार्ग सुरक्षा तथा ट्राफिक व्यवस्थापन कार्यालय सुर्खेतका प्रमुख अपिलराज बोहरा भन्छन्, ‘अटो चालक महिला छन् तर जिप चलाउने कोही छैनन् ।’"
प्रधानमन्त्री ओलीको चीन भ्रमणको तयारी गर्न परराष्ट्रमन्त्री राणा बिहीबार छेन्दु जाँदै,करिब १४ महिना लामो युद्धपछि अन्ततः इजरायल र लेबनानको लडाकु समूह हेजबुल्लाह युद्धविरामका लागि सहमत भएका छन् । दुई पक्षबीच बुधबार बिहान ४ बजेदेखि लागू हुने गरी युद्धविराम भएको अमेरिकी राष्ट्रपति जो बाइडेनले घोषणा गरेका हुन् । युद्धविराम भएसँगै इजरायल–लेबनान सीमा क्षेत्र शान्त बनेको अन्तर्राष्ट्रिय सञ्चारमाध्यमले जनाएका छन् ।
